  201   101
2.5000e+02 -2.5000e+04 -2.5000e+04
1.9958e+02 0.0000e+00 0.0000e+00
1.9480e+02 0.0000e+00 0.0000e+00
1.8233e+02 0.0000e+00 0.0000e+00
1.7124e+02 0.0000e+00 0.0000e+00
1.7145e+02 0.0000e+00 0.0000e+00
1.7549e+02 0.0000e+00 0.0000e+00
1.7955e+02 0.0000e+00 0.0000e+00
1.8246e+02 0.0000e+00 0.0000e+00
1.8589e+02 0.0000e+00 0.0000e+00
1.8348e+02 0.0000e+00 0.0000e+00
1.8980e+02 0.0000e+00 0.0000e+00
1.7832e+02 0.0000e+00 0.0000e+00
1.7454e+02 0.0000e+00 0.0000e+00
1.6155e+02 0.0000e+00 0.0000e+00
1.4952e+02 0.0000e+00 0.0000e+00
1.4281e+02 0.0000e+00 0.0000e+00
1.4142e+02 0.0000e+00 0.0000e+00
1.4133e+02 0.0000e+00 0.0000e+00
1.3728e+02 0.0000e+00 0.0000e+00
1.3031e+02 0.0000e+00 0.0000e+00
1.2097e+02 0.0000e+00 0.0000e+00
1.1609e+02 0.0000e+00 0.0000e+00
1.0351e+02 0.0000e+00 0.0000e+00
8.2052e+01 0.0000e+00 0.0000e+00
6.3085e+01 0.0000e+00 0.0000e+00
5.2971e+01 0.0000e+00 0.0000e+00
6.2746e+01 0.0000e+00 0.0000e+00
5.6521e+01 0.0000e+00 0.0000e+00
5.9552e+01 0.0000e+00 0.0000e+00
4.8367e+01 0.0000e+00 0.0000e+00
4.4584e+01 0.0000e+00 0.0000e+00
4.0401e+01 0.0000e+00 0.0000e+00
3.3364e+01 0.0000e+00 0.0000e+00
1.8219e+01 0.0000e+00 0.0000e+00
-5.7190e-01 0.0000e+00 0.0000e+00
-5.1837e+00 0.0000e+00 0.0000e+00
-1.0195e+01 0.0000e+00 0.0000e+00
-1.6290e+01 0.0000e+00 0.0000e+00
-2.0785e+01 0.0000e+00 0.0000e+00
-3.2767e+01 0.0000e+00 0.0000e+00
-4.2980e+01 0.0000e+00 0.0000e+00
-5.3516e+01 0.0000e+00 0.0000e+00
-5.8784e+01 0.0000e+00 0.0000e+00
-6.5665e+01 0.0000e+00 0.0000e+00
-6.0907e+01 0.0000e+00 0.0000e+00
-6.4024e+01 0.0000e+00 0.0000e+00
-6.9144e+01 0.0000e+00 0.0000e+00
-8.3290e+01 0.0000e+00 0.0000e+00
-9.6954e+01 0.0000e+00 0.0000e+00
-1.2319e+02 0.0000e+00 0.0000e+00
-1.6192e+02 0.0000e+00 0.0000e+00
-1.9656e+02 0.0000e+00 0.0000e+00
-2.2704e+02 0.0000e+00 0.0000e+00
-2.7264e+02 0.0000e+00 0.0000e+00
-3.0607e+02 0.0000e+00 0.0000e+00
-3.3726e+02 0.0000e+00 0.0000e+00
-3.7145e+02 0.0000e+00 0.0000e+00
-3.9564e+02 0.0000e+00 0.0000e+00
-4.2134e+02 0.0000e+00 0.0000e+00
-4.3883e+02 0.0000e+00 0.0000e+00
-4.6247e+02 0.0000e+00 0.0000e+00
-4.8620e+02 0.0000e+00 0.0000e+00
-5.1741e+02 0.0000e+00 0.0000e+00
-5.2317e+02 0.0000e+00 0.0000e+00
-5.1871e+02 0.0000e+00 0.0000e+00
-5.1408e+02 0.0000e+00 0.0000e+00
-5.1831e+02 0.0000e+00 0.0000e+00
-5.2051e+02 0.0000e+00 0.0000e+00
-5.1819e+02 0.0000e+00 0.0000e+00
-5.2303e+02 0.0000e+00 0.0000e+00
-5.2747e+02 0.0000e+00 0.0000e+00
-5.2171e+02 0.0000e+00 0.0000e+00
-5.0936e+02 0.0000e+00 0.0000e+00
-5.0702e+02 0.0000e+00 0.0000e+00
-5.0493e+02 0.0000e+00 0.0000e+00
-4.9832e+02 0.0000e+00 0.0000e+00
-5.0307e+02 0.0000e+00 0.0000e+00
-4.9006e+02 0.0000e+00 0.0000e+00
-4.8251e+02 0.0000e+00 0.0000e+00
-4.6759e+02 0.0000e+00 0.0000e+00
-4.6257e+02 0.0000e+00 0.0000e+00
-4.5002e+02 0.0000e+00 0.0000e+00
-4.3354e+02 0.0000e+00 0.0000e+00
-4.0854e+02 0.0000e+00 0.0000e+00
-4.0007e+02 0.0000e+00 0.0000e+00
-3.9159e+02 0.0000e+00 0.0000e+00
-3.7608e+02 0.0000e+00 0.0000e+00
-3.7053e+02 0.0000e+00 0.0000e+00
-3.6390e+02 0.0000e+00 0.0000e+00
-3.3809e+02 0.0000e+00 0.0000e+00
-3.0761e+02 0.0000e+00 0.0000e+00
-2.8293e+02 0.0000e+00 0.0000e+00
-2.7023e+02 0.0000e+00 0.0000e+00
-2.4965e+02 0.0000e+00 0.0000e+00
-2.3704e+02 0.0000e+00 0.0000e+00
-2.3509e+02 0.0000e+00 0.0000e+00
-2.1620e+02 0.0000e+00 0.0000e+00
-2.0694e+02 0.0000e+00 0.0000e+00
-1.9320e+02 0.0000e+00 0.0000e+00
-1.7815e+02 0.0000e+00 0.0000e+00
-1.6358e+02 0.0000e+00 0.0000e+00
1.9717e+02 0.0000e+00 0.0000e+00
1.9182e+02 2.1955e-04 -1.7088e-02
1.8863e+02 2.2910e-02 -1.9873e-02
1.8189e+02 3.1681e-02 -1.7319e-02
1.7997e+02 4.4348e-02 -9.0430e-03
1.7737e+02 2.4780e-02 -2.3656e-02
1.6814e+02 -1.9670e-02 -2.8996e-02
1.6287e+02 -3.8046e-02 9.3968e-03
1.7284e+02 -3.0249e-02 3.2949e-02
1.7934e+02 -2.0396e-02 1.6137e-02
1.8091e+02 -2.6237e-02 -8.9397e-03
1.7487e+02 -2.6841e-02 -2.0794e-02
1.7051e+02 -3.3705e-02 -2.7804e-02
1.6097e+02 -2.4402e-02 -4.8784e-02
